"","truseq","inlysate","purified_RNA","rand_truseq","rank","inlysate_truseq","purified_truseq","inlysate_purified","rand_truseq_truseq"
"12682","MMP19","TM9SF1","ATG13","UBLCP1",12682,10669,10566,11196,4200
"12683","EDC3","LOC105370594","MIB1","LOC112267972",12683,10670,10567,11197,4200
"12684","RNASE4","WDFY4","SBF2","LOC107986236",12684,10671,10569,11198,4200
"12685","SAYSD1","LINC01444","MED9","WHAMM",12685,10672,10570,11200,4201
"12686","ACADSB","LOC105372859","CYP7B1","CD99L2",12686,10673,10571,11201,4203
"12687","BRF2","ZNF442","NSUN5P2","LOC105378379",12687,10675,10573,11202,4203
"12688","HCN2","LOC105370809","FLG-AS1","C17orf102",12688,10676,10575,11204,4203
"12689","ZNF519","SNORA27","CDH18","ALMS1-IT1",12689,10677,10577,11204,4203
"12690","FTX","PCDHB5","STYK1","FGD3",12690,10677,10577,11206,4203
"12691","NEIL1","PDCL3P4","NOMO2","RBMY1A3P",12691,10678,10579,11206,4203
"12692","LOC105373957","FMNL1","DDX43","CCNL1",12692,10678,10581,11207,4204
"12693","LOC101927864","LOC105370941","ZBTB39","RPF1",12693,10678,10581,11208,4205
"12694","LOC154761","GPRIN3","SET","UQCC3",12694,10679,10582,11209,4206
"12695","KHDRBS3","ST6GALNAC3","COL6A2","TRIP12",12695,10680,10584,11210,4207
"12696","ZNF649","F7","C12orf49","LOC105374036",12696,10681,10586,11211,4207
"12697","CEP72","LOC254896","CCDC97","C5orf47",12697,10682,10588,11212,4207
"12698","GYPE","LINC02166","RNPS1","HOXA13",12698,10683,10590,11214,4209
"12699","LOC155060","ZNF620","DYSF","LOC112268236",12699,10685,10592,11216,4209
"12700","ZNF446","RNU6-9","DPY19L1P2","HSP90B1",12700,10686,10594,11216,4210
"12701","ANXA9","DOK3","ENTR1","MGAT1",12701,10686,10595,11217,4212
"12702","LY6E-DT","LINC00240","JAM3","CKMT2",12702,10687,10597,11218,4212
"12703","ADGRB1","LOC105374127","UBE2I","MIR603",12703,10687,10599,11219,4212
"12704","LOC105374838","ZNF774","TATDN2","LOC101928008",12704,10688,10600,11221,4212
"12705","NASP","LOC107985410","HSBP1L1","DENND10P1",12705,10689,10601,11222,4213
"12706","DBI","MFHAS1","CTDP1","FTX",12706,10691,10603,11224,4214
"12707","EMILIN2","LOC112268150","RBMXL1","LOC100289656",12707,10693,10605,11226,4214
"12708","ZNF580","RAB6C","MBOAT7","LOC107985479",12708,10694,10607,11228,4214
"12709","MLF1","PPM1L","WDR35","MIR3158-1",12709,10696,10608,11230,4214
"12710","ASB16-AS1","LOC107986991","ATP6AP1L","LOC107986555",12710,10698,10609,11231,4214
"12711","ZNF43","TPTEP1","HECTD2-AS1","SNORA3A",12711,10699,10610,11231,4215
"12712","CRACD","CRSP8P","PLCXD3","LINC01694",12712,10700,10612,11231,4215
"12713","PRSS27","LOC112267915","CDH10","LOC105379332",12713,10700,10614,11231,4215
"12714","SBNO1-AS1","FBXW4P1","NPEPPS","LOC100287049",12714,10701,10615,11233,4217
"12715","PNMA6A","C2orf27A","BCL9L","ADNP2",12715,10703,10617,11235,4218
"12716","LOC100507291","LINC00504","FN3KRP","MSANTD2",12716,10703,10618,11236,4220
"12717","KIF13A","PRSS35","MTRR","PLSCR4",12717,10705,10620,11238,4221
